Date,Julian,Lake,Counted.By,Total,UA,UJ,UninfectedMales,UninfectedEphip,APasteuria,JPasteuria,MalePasteuria,EphipPastueria,Brood,EBrood,AMicG,JMicG,MaleMicG,EphipMicG,ASpiro,JSpiro,MaleSpiro,EphipSpiro,AWhiteSpiro,JWhiteSpiro,MaleWhiteSpiro,EWhiteSpiro,AYellowSpiro,AMetsch,JMetsch,MaleMetsch,EphipMetsch,ALarssonia,ASpiderman,JSpiderman,ESpiderman,MaleSpiderman,AMicGPast,JMicGPast,AMicGSpiro,AMetschBrood,AMicGBrood,AMicGMetsch,JMicGMetsch,MMicGMetsch,AMetschPast,JMetschPast,AMicGWhiteSpiro,MaleWhiteSpiroMetsch,APastSpider,MPastSpider,,,,
27-Oct-17,300,LittleAppleton,CDG,203,90,100,12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Oct-17,303,CrookedP,CDG,274,46,49,91,67,5,,1,,,,,,,3,,,,,,,,,,7,,3,2,,,,,,,,,,,,,,,,,,,,,,,
30-Oct-17,303,North,CLS,42,7,19,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Oct-17,304,Appleton,CDG,113,37,46,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Oct-17,304,Bishop,CLS,239,82,87,65,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Oct-17,304,LittleAppleton,KKH,154,41,88,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Nov-17,306,Walsh,MAR,245,36,71,71,4,2,,1,,,,23,4,14,3,,,,,,,,,,6,,3,1,,,,,,1,,,,,3,,2,,,,,,,,,,
3-Nov-17,307,CrookedW,MAR,237,22,37,114,22,,,,,,,,,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Nov-17,313,Gosling,MAR,188,69,49,31,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Nov-17,306,Mill,KKH,36,8,13,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Nov-17,307,Cedar,CLS,228,44,20,74,50,11,1,3,,2,,,,,6,,,,,,,,,,,,,,,7,,8,1,,,,,,,,,,,,1,,,,,,
6-Nov-17,310,Woodland,KKH,121,81,37,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Nov-17,310,Whitmore,CLS,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Nov-17,311,North,CDG,30,10,12,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Nov-17,311,Bruin,CLS,56,6,15,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Nov-17,311,CrookedP,KKH,327,65,56,171,30,1,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
9-Nov-17,313,Pickerel,CDG,232,65,92,42,10,,,,,,,2,,,,1,,,,5,1,,1,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,
9-Nov-17,313,Sullivan,KKH,258,23,20,184,12,,,,,,,,,,,,,,,,,,,,3,,15,1,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-17,314,Walsh,CLS,222,62,35,66,51,,,,,,,,,,,,,,,,,,,,5,,,2,,,,1,,,,,,,,,,,,,,,,,,,
10-Nov-17,314,Mill,MAR,80,26,22,9,20,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Nov-17,317,Bishop,CDG,215,97,47,47,16,1,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Nov-17,317,LittleAppleton,MAR,220,76,80,23,40,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Nov-17,317,Appleton,KKH,216,19,14,43,9,,,,,,,13,,48,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Nov-17,318,Cedar,MAR,253,30,39,125,41,7,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,4,2,1,,,,,,,,,,,,1,,,,
14-Nov-17,318,CrookedW,CLS,230,53,60,15,100,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
